"ResponseId","targetID","ownRating","age","gender","issue","issue_pos","StartDate","EndDate","political","policing_att","assault_att","target","otherRating"
"R_10OR1dEcKBMYO6f","R_2waCoY5EsXJ2w6g",5.94444444444444,23,1,"blm",2,"2019-05-10 13:20:08","2019-05-10 13:30:04",5,2,4,1,4.5462962962963
"R_10OR1dEcKBMYO6f","R_ezK9ptAmabimcM1",5.61111111111111,23,1,"blm",2,"2019-05-10 13:20:08","2019-05-10 13:30:04",5,2,4,2,3.25
"R_10oXvbxk0B40f4c","R_1mV5HAPwudlu0dU",6.22222222222222,24,2,"blm",2,"2019-05-10 12:50:38","2019-05-10 12:56:42",1,2,5,1,5.55555555555556
"R_10oXvbxk0B40f4c","R_2VqNV3hhkxBO26r",6.11111111111111,24,2,"blm",2,"2019-05-10 12:50:38","2019-05-10 12:56:42",1,2,5,2,5.24444444444444
"R_10qhptGC1Uwp4IA","R_1PRbW1ZqrPDJ3Ef",3.44444444444444,39,2,"sa",7,"2019-05-10 14:22:10","2019-05-10 14:32:47",4,1,7,1,4.56666666666667
"R_10qhptGC1Uwp4IA","R_reYxbbz6XLCLE41",4.38888888888889,39,2,"sa",7,"2019-05-10 14:22:10","2019-05-10 14:32:47",4,1,7,2,3.92592592592593
"R_10r7aGmi8lTDggM","R_290xMBaZehUsvet",4.27777777777778,50,2,"blm",6,"2019-05-09 08:35:01","2019-05-09 08:43:54",6,6,2,1,4.58333333333333
"R_10r7aGmi8lTDggM","R_3I5Km8JHIfFq48t",4.66666666666667,50,2,"blm",6,"2019-05-09 08:35:01","2019-05-09 08:43:54",6,6,2,2,4.47222222222222
"R_10uBx8J7ki5bYFk","R_23TxzC04FhpTdNg",1.61111111111111,33,1,"blm",1,"2019-05-09 10:03:37","2019-05-09 10:27:47",1,1,2,1,3.66666666666667
"R_10uBx8J7ki5bYFk","R_2VDDIfTkRczxyU1",3.61111111111111,33,1,"blm",1,"2019-05-09 10:03:37","2019-05-09 10:27:47",1,1,2,2,5.18888888888889
"R_10w1aTfxqcsu0EX","R_23fW1L2JU74Y41D",4.94444444444444,36,1,"blm",2,"2019-05-09 09:37:20","2019-05-09 09:45:01",2,2,5,1,3.85555555555556
"R_10w1aTfxqcsu0EX","R_3PX3JxhOveNONBO",4.83333333333333,36,1,"blm",2,"2019-05-09 09:37:20","2019-05-09 09:45:01",2,2,5,2,4.25
"R_110Cgkei6PUJqjO","R_OPC7ir85sXfOXNn",6.66666666666667,35,1,"blm",6,"2019-05-10 16:05:05","2019-05-10 16:45:17",5,6,7,1,6.58333333333333
"R_110Cgkei6PUJqjO","R_smKjbGea0cSGL4t",6.66666666666667,35,1,"blm",6,"2019-05-10 16:05:05","2019-05-10 16:45:17",5,6,7,2,4.61111111111111
"R_111HsyFt27iAc2R","R_DkjmAmMUFo4IcgN",3.05555555555556,41,1,"sa",2,"2019-05-10 15:53:02","2019-05-10 16:11:33",4,2,2,1,4.42592592592593
"R_111HsyFt27iAc2R","R_YXk2lTmnnRYnePD",6.27777777777778,41,1,"sa",2,"2019-05-10 15:53:02","2019-05-10 16:11:33",4,2,2,2,5.05555555555556
"R_1154uM6YPZeVjhK","R_1Kkg1DOmTKHyvnp",6.22222222222222,30,2,"blm",6,"2019-05-10 15:57:39","2019-05-10 16:04:51",6,6,7,1,4.74074074074074
"R_1154uM6YPZeVjhK","R_3nO8jkZ8QqsauCt",6.5,30,2,"blm",6,"2019-05-10 15:57:39","2019-05-10 16:04:51",6,6,7,2,4.86111111111111
"R_11apkB7Glimn9ui","R_2V7tZC84wLkIAfW",4.5,40,1,"sa",2,"2019-05-10 13:04:16","2019-05-10 13:14:16",2,1,2,1,4.05555555555556
"R_11apkB7Glimn9ui","R_3rYY6zQFLgaSyBp",5.05555555555556,40,1,"sa",2,"2019-05-10 13:04:16","2019-05-10 13:14:16",2,1,2,2,3.69444444444444
"R_11iIZC2CGeDSyWe","R_3qwViO5qpytKvek",4.94444444444444,47,2,"blm",1,"2019-05-10 12:49:11","2019-05-10 13:01:45",6,1,7,1,4.82407407407407
"R_11iIZC2CGeDSyWe","R_bK62kCS7wov5mMx",6,47,2,"blm",1,"2019-05-10 12:49:11","2019-05-10 13:01:45",6,1,7,2,5.11111111111111
